Date, Close Price
2021-09-05, 696.00
2021-09-02, 729.00
2021-09-01, 736.50
2021-08-31, 735.90
2021-08-29, 748.60
2021-08-26, 761.30
2021-08-25, 762.00
2021-08-24, 778.80
2021-08-19, 789.00
2021-08-18, 766.00
2021-08-17, 761.00
2021-08-16, 772.00
2021-08-15, 780.00
2021-08-12, 780.00
2021-08-11, 774.00
2021-08-10, 777.00
2021-08-09, 771.00
2021-08-08, 774.00
2021-08-05, 785.60
2021-08-04, 788.00
2021-08-03, 792.00
2021-08-02, 788.00
2021-08-01, 791.00
2021-07-29, 803.00
2021-07-28, 812.00
2021-07-27, 772.00
2021-07-26, 765.00
2021-07-25, 762.00
2021-07-22, 765.00
2021-07-20, 777.00
2021-07-19, 785.00
2021-07-18, 780.00
2021-07-15, 754.00
2021-07-14, 754.00
2021-07-13, 759.00
2021-07-12, 758.00
2021-07-11, 771.00
2021-07-08, 736.00
2021-07-07, 727.00
2021-07-06, 735.00
2021-07-05, 742.00
2021-07-04, 753.00
2021-07-01, 755.00
2021-06-30, 747.00
2021-06-29, 755.00
2021-06-28, 767.00
2021-06-27, 763.00
2021-06-24, 766.00
2021-06-23, 772.00
2021-06-22, 792.00
2021-06-21, 770.00
2021-06-20, 793.00
2021-06-17, 806.00
2021-06-16, 805.00
2021-06-15, 817.00
2021-06-14, 822.00
2021-06-13, 815.00
2021-06-10, 814.00
2021-06-09, 824.00
2021-06-08, 831.00
2021-06-07, 806.00
